process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,2467.206497192383,2467.206497192383,53973.9196875
total_pred_prefit,VH_1V_MET_300_400,1017.0333557128906,1017.0333557128906,10202.22619140625
total_pred_prefit,VH_1V_MET_400_2000,110.32544851303099,110.32544851303099,181.0790187454224
total_pred_prefit,VH_2j0b_MET_200_300,11410.087371826172,11410.087371826172,214067.87
total_pred_prefit,VH_2j0b_MET_300_400,6354.771255493164,6354.771255493164,66643.161328125
total_pred_prefit,VH_2j0b_MET_400_2000,2271.5849990844727,2271.5849990844727,8946.275922851562
total_pred_prefit,VH_2j1b_MET_200_300,1023.2835426330566,1023.2835426330566,6112.8808203125
total_pred_prefit,VH_2j1b_MET_300_400,509.8101396560669,509.8101396560669,2383.3001501464846
total_pred_prefit,VH_2j1b_MET_400_2000,209.5469844341278,209.5469844341278,439.3391827392578
total_pred_prefit,VH_2j2b_MET_200_2000,170.0459704399109,170.0459704399109,315.0868615722656
data,VH_2j2b_MET_200_2000,202.0,202.0,202.0
QCD_from_photon_purity,VH_2j2b_MET_200_2000,5.382735729217528,5.382735729217528,1.1406938171386716
VBF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
VH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
ggF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
Ewk,VH_2j2b_MET_200_2000,179.01019287109375,179.01019287109375,129.103583984375
data,VH_1V_MET_200_300,2685.0,2685.0,2685.0
QCD_from_photon_purity,VH_1V_MET_200_300,76.47539520263672,76.47539520263672,230.47359375
VBF,VH_1V_MET_200_300,0.0,0.0,0.0
VH,VH_1V_MET_200_300,0.0,0.0,0.0
ggF,VH_1V_MET_200_300,0.0,0.0,0.0
Ewk,VH_1V_MET_200_300,2376.728515625,2376.728515625,2282.29796875
data,VH_1V_MET_300_400,1007.0,1007.0,1007.0
QCD_from_photon_purity,VH_1V_MET_300_400,26.353334426879893,26.353334426879893,27.25433837890625
VBF,VH_1V_MET_300_400,0.0,0.0,0.0
VH,VH_1V_MET_300_400,0.0,0.0,0.0
ggF,VH_1V_MET_300_400,0.0,0.0,0.0
Ewk,VH_1V_MET_300_400,956.5895385742188,956.5895385742188,787.046484375
data,VH_1V_MET_400_2000,117.0,117.0,117.0
QCD_from_photon_purity,VH_1V_MET_400_2000,2.4189701080322266,2.4189701080322266,0.2286734008789063
VBF,VH_1V_MET_400_2000,0.0,0.0,0.0
VH,VH_1V_MET_400_2000,0.0,0.0,0.0
ggF,VH_1V_MET_400_2000,0.0,0.0,0.0
