process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ttH_1t1b_MET_200_300,253.3629302978516,253.3629302978516,424.57550781250006
total_pred_prefit,ttH_1t1b_MET_300_400,205.2482147216797,205.2482147216797,154.177392578125
total_pred_prefit,ttH_1t1b_MET_400_2000,173.02455139160156,173.02455139160156,131.746220703125
total_pred_prefit,ttH_1t2b_MET_200_300,372.6456604003906,372.6456604003906,1286.75484375
total_pred_prefit,ttH_1t2b_MET_300_400,295.5086975097656,295.5086975097656,616.4094921874997
total_pred_prefit,ttH_1t2b_MET_400_600,199.9100646972656,199.9100646972656,348.9590234375
total_pred_prefit,ttH_1t2b_MET_600_2000,24.64266586303711,24.64266586303711,10.328858642578123
total_pred_prefit,ttH_1w1b_MET_200_300,1230.802978515625,1230.802978515625,7970.763125000001
total_pred_prefit,ttH_1w1b_MET_300_400,421.4613952636719,421.4613952636719,1055.204140625
total_pred_prefit,ttH_1w1b_MET_400_2000,150.93031311035156,150.93031311035156,209.1126171875
total_pred_prefit,ttH_1w2b_MET_200_300,1252.5887451171875,1252.5887451171875,14254.0925
total_pred_prefit,ttH_1w2b_MET_300_400,396.4517517089844,396.4517517089844,1639.7756250000002
total_pred_prefit,ttH_1w2b_MET_400_2000,116.26171875,116.26171875,200.7170703125
total_pred_prefit,ttH_2Boosted_MET_200_300,124.47958374023438,124.47958374023438,147.716044921875
total_pred_prefit,ttH_2Boosted_MET_300_400,79.62914276123047,79.62914276123047,52.12020507812501
total_pred_prefit,ttH_2Boosted_MET_400_2000,54.69623565673828,54.69623565673828,28.961950683593745
total_pred_prefit,ttH_5j1b_MET_200_300,3374.999755859375,3374.999755859375,24301.5225
total_pred_prefit,ttH_5j1b_MET_300_400,872.0990600585938,872.0990600585938,1678.03640625
total_pred_prefit,ttH_5j1b_MET_400_2000,290.6097412109375,290.6097412109375,717.500078125
total_pred_prefit,ttH_5j2b_MET_200_300,1367.0870361328125,1367.0870361328125,12318.2775
total_pred_prefit,ttH_5j2b_MET_300_400,264.51406860351557,264.51406860351557,678.8903125000003
total_pred_prefit,ttH_5j2b_MET_400_2000,71.44940185546875,71.44940185546875,70.4140771484375
total_pred_prefit,ttH_6j1b_MET_200_300,1832.6156005859373,1832.6156005859373,8388.798749999998
total_pred_prefit,ttH_6j1b_MET_300_400,549.39208984375,549.39208984375,1280.7557812499995
total_pred_prefit,ttH_6j1b_MET_400_2000,214.2919006347656,214.2919006347656,441.94417968750014
total_pred_prefit,ttH_6j2b_MET_200_300,883.5562744140625,883.5562744140625,5871.385625000001
total_pred_prefit,ttH_6j2b_MET_300_400,198.88584899902344,198.88584899902344,408.979609375
total_pred_prefit,ttH_6j2b_MET_400_2000,78.63487243652344,78.63487243652344,97.53558593750002
data,ttH_1t1b_MET_200_300,221.0,221.0,221.0
VBF,ttH_1t1b_MET_200_300,2.030874490799306e-08,2.030874490799306e-08,2.620305852190161e-19
ggF,ttH_1t1b_MET_200_300,2.0320303661947043e-08,2.0320303661947043e-08,2.0623947305507848e-18
Ewk,ttH_1t1b_MET_200_300,207.7536773681641,207.7536773681641,116.42244140625002
VH,ttH_1t1b_MET_200_300,0.3220523297786713,0.3220523297786713,0.014189599752426146
ttH,ttH_1t1b_MET_200_300,6.201908588409424,6.201908588409424,0.396382293701172
data,ttH_1t1b_MET_300_400,180.0,180.0,180.0
VBF,ttH_1t1b_MET_300_400,2.030874490799306e-08,2.030874490799306e-08,2.620305852190161e-19
VH,ttH_1t1b_MET_300_400,2.030874490799306e-08,2.030874490799306e-08,1.1244422758985552e-19
ggF,ttH_1t1b_MET_300_400,2.0320303661947043e-08,2.0320303661947043e-08,2.0623947305507848e-18
Ewk,ttH_1t1b_MET_300_400,167.58169555664062,167.58169555664062,99.94345703125
ttH,ttH_1t1b_MET_300_400,7.579217910766602,7.579217910766602,0.6360794830322266
data,ttH_1t1b_MET_400_2000,150.0,150.0,150.0
VBF,ttH_1t1b_MET_400_2000,2.030874490799306e-08,2.030874490799306e-08,2.620305852190161e-19
VH,ttH_1t1b_MET_400_2000,2.030874490799306e-08,2.030874490799306e-08,1.1244422758985552e-19
ggF,ttH_1t1b_MET_400_2000,2.0320303661947043e-08,2.0320303661947043e-08,2.0623947305507848e-18
Ewk,ttH_1t1b_MET_400_2000,132.509033203125,132.509033203125,75.55798828125
ttH,ttH_1t1b_MET_400_2000,12.602216720581055,12.602216720581055,1.8772073364257809
