process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ggF_2jM_MET_200_300,9565.44140625,9565.44140625,14093157.12
total_pred_prefit,ggF_2jM_MET_300_400,2561.4951171875,2561.4951171875,247267.28
total_pred_prefit,ggF_2jM_MET_400_600,771.2548217773438,771.2548217773438,14427.63125
total_pred_prefit,ggF_2jM_MET_600_2000,72.81458282470703,72.81458282470703,2991.5325
total_pred_prefit,ggF_3j_MET_200_300,6261.341796875,6261.341796875,5485864.32
total_pred_prefit,ggF_3j_MET_300_400,1946.97607421875,1946.97607421875,123216.07000000002
total_pred_prefit,ggF_3j_MET_400_600,628.1958618164062,628.1958618164062,10329.864375
total_pred_prefit,ggF_3j_MET_600_2000,65.46966552734375,65.46966552734375,2341.18890625
total_pred_prefit,ggF_4j_MET_200_300,2635.515625,2635.515625,918017.28
total_pred_prefit,ggF_4j_MET_300_400,930.9053344726562,930.9053344726562,26842.9975
total_pred_prefit,ggF_4j_MET_400_600,323.41351318359375,323.41351318359375,2809.8187500000013
total_pred_prefit,ggF_4j_MET_600_2000,35.96410751342773,35.96410751342773,673.8467968750001
total_pred_prefit,ggF_5j_MET_200_300,1079.6195068359377,1079.6195068359377,137494.68000000002
total_pred_prefit,ggF_5j_MET_300_400,434.013916015625,434.013916015625,4835.230625000001
total_pred_prefit,ggF_5j_MET_400_600,172.85592651367188,172.85592651367188,827.827421875
total_pred_prefit,ggF_5j_MET_600_2000,21.137104034423828,21.137104034423828,241.1320703125
data,ggF_2jM_MET_200_300,7890.0,7890.0,7890.0
VBF,ggF_2jM_MET_200_300,0.0,0.0,0.0
VH,ggF_2jM_MET_200_300,0.0,0.0,0.0
ggF,ggF_2jM_MET_200_300,0.0,0.0,0.0
Ewk,ggF_2jM_MET_200_300,7869.9443359375,7869.9443359375,4391.999375
data,ggF_2jM_MET_300_400,2337.0,2337.0,2337.0
VBF,ggF_2jM_MET_300_400,0.0,0.0,0.0
VH,ggF_2jM_MET_300_400,0.0,0.0,0.0
ggF,ggF_2jM_MET_300_400,0.0,0.0,0.0
